name,bg_img_link,mark,category,rating,price,address,role,city,int_price
Tivoli Grand,https://cdn.venuelook.com/uploads/space_167/1545994170_204x158.png,"Gt Karnal Road, Delhi",banquet-halls,4.6,Rs. 1800 price per plat,"Near TDI Mall Kundli Mall,
The Grand Pavilion lives up to its name in every manner:A magical ambience, an elegant backdrop, a striking area spanning over10,000 sq.ft., The Grand Pavilion makes sure it stamps out an unforgettable first impression . If your ultimate wish is to host an unforgettable event, look no further than Tivoli Grand Resortâs,The Grand Pavilion.
The Grand Pavilion, in its entire splendor, is the perfect choice for all your private or corporate events which deserve a grand celebration. Widely acknowledged and appreciated by numerous satisfied clients, our majestic venue adds a dash of glamour and style to metamorphose your experience from good to exceptional.
When you choose The Grand Pavilion for your next big occasion, we not only provide you an extensive range of style and tasteful aesthetics, but also, a versatile customized menu, and above par on-site amenities. You will step into the venue on the day of your event, completely assured that all your guests would be swept off their feet, and have an evening that they will cherish forever in their hearts.",Emrald Green With Royal Ballroom,delhi,1800
The Florence Banquet,https://cdn.venuelook.com/uploads/space_36435/1689661531_204x158.png,"Moti Nagar, Delhi",banquet-halls,4.6,Rs. 2000 price per plat,"Near Moments Mall Mall,
The Florence Banquet in West Delhi is a place where you can celebrate your wedding event in a cosy manner and the venue provides you with a beautiful space to decorate as per your chosen wedding theme and layout. It offers you a venue that will simply impress you and your guests and ensure you with a memorable and special wedding affair. Choosing the right venue is the first step to organise the wedding perfectly. The Florence Banquet has a dedicated staff and management who manage every little need and demand for making your wedding a grand success in more than one ways. They will ensure to make your wedding a grand affair which is worth remembering a lifetime for you and your guests.",Combined,delhi,2000
Lado Rani Banquet,https://cdn.venuelook.com/uploads/space_37242/1695977070_204x158.png,"Patparganj, Delhi",banquet-halls,4.6,Rs. 1100 price per plat,"Near EDM Mall Mall,
Lado Rani BanquetÂ venue provides different spaces that can accommodate both large-scale and intimate weddings. It offers flexibility in choosing the area that suits the size and style of the wedding celebration. The venue provides ample parking facilities, ensuring convenience for guests attending the wedding. The venue is known for its courteous and professional staff who work diligently to ensure that all aspects of the wedding run smoothly. They cater to various cuisines and can customize menus according to the couple's preferences.",Combined,delhi,1100
Ananda Banquets,https://cdn.venuelook.com/uploads/space_38975/1715765635_204x158.png,"Kirti Nagar, Delhi",banquet-halls,4.8,Rs. 899 price per plat,"Near Kirti Nagar Metro Station,
Ananda Banquets, located in Kirti Nagar, Delhi, is a prestigious event venue known for its elegance, versatility, and impeccable service. Ananda Banquets offers spacious and well-equipped banquet halls suitable for a variety of events, including weddings, receptions, corporate functions, and social gatherings. The banquet halls are tastefully decorated and can be customized to accommodate different seating arrangements and event themes. With their modern amenities and sophisticated ambiance, the banquet halls at Ananda Banquets provide the perfect setting for memorable celebrations.",Ground Floor And First Floor,delhi,899
Hotel Plutos,https://cdn.venuelook.com/uploads/space_3026/1445246918_204x158.png,"Vasant Kunj, Delhi",banquet-halls,4.5,Rs. 1600 price per plat,"Near Ambience Mall - Vasant Kunj Mall,
At the heart of New Delhi, lies, Hotel PLUTOâS, the most distinguished hotel in India's capital. Away from the hustle-bustle of the city, the place offers a cozy quite atmosphere. Situated on the foothills near the airport, provides a dynamic and pollution free environment, put its best foot forward in terms of hospitality and caters to all customers need by creating a homely atmosphere. Our main aim is to provide exceptional experience in each of our services. It has 105 luxurious A/C rooms with superiorÂ  Global Cuisine Restaurant named Plutoâs Lounge.A 20 minutes drive from International airport adds cherry on the cake to hotel Plutoâs.Known for its uniqueness, the hotel's ambiance emits warmth and tries to satisfy each customer by providing them with high quality service in a homely atmosphere. Hotel Plutos is regarded as one of the best hotel cum bars in Delhi by International tourists.",Banquet Hall,delhi,1600
Mona Grand,https://cdn.venuelook.com/uploads/space_28545/1637385154_204x158.png,"Nirman Vihar, Delhi",banquet-halls,4.6,Rs. 999 price per plat,"Near V3S Mall - Laxmi Nagar Mall,
Mona Grand is a wedding venue based in the city of Delhi. They have a delightful yet refined inside space that will give an ideal vibe to have all your wedding capacities in the most flawless way. This scene has its own magnificence and style that will help you in giving a devotee experience. This scene can possibly be a magnificent spot to get joined with the affection for your life. The setting has an appealing and charming atmosphere that causes everybody to feel good and invited inside their premises. Mona Grand is the decision that you ought to make for the most fantastic day of your lives.So to make your memories more beautiful and fun, book this banquet hall which regales its guests with all top-notch services. Folks who are big on getting value for money will find this place an ideal match for their wedding dreams and wedding budget. From decor to the dressing on food, they give attention to every minute details.Â Every element of this resort is designed to allow the guests to live it to the fullest. The venue is always the hardest deciding part of a wedding after the dates are fixed. Given all the boxes it needs to fit into to be your ideal place where you can take your vows with the blessings of all your friends and family, the Mona GrandÂ is a convenient choice.",Mona Grand Banquets,delhi,999
China Fort,https://cdn.venuelook.com/uploads/space_29694/1644302550_204x158.png,"Janak Puri, Delhi",banquet-halls,3.8,Rs. 750 price per plat,"Near Unity One Mall,
China Fort, Janak Puri, Delhi is a great place to host an intimate gathering. The place is perfect to host birthday parties, corporate Party, social gathering, formal gathering, pre-wedding ceremony,Â wedding receptionÂ and so on.The staff of China Fort are well-trained and courteous and makes sure the host is completely relaxed during the time of the event and enjoying with the rest of the guests.The in-house team of chefs at China Fort are known to make the best multi-cuisine vegetarian delicacies for all your guests that will make all drool. The decor team of the venue is extremely talented and is known to make the host happy with their decor skills.",Banquet,delhi,750
Calista Resort Delhi,https://cdn.venuelook.com/uploads/space_26392/1719314530_204x158.png,"Kapashera, Delhi",banquet-halls,4.8,Rs. 2500 price per plat,"Near Ambience Mall Mall,
Calista Resort, Kapashera, Delhi has hosted many successful events like wedding ceremonies, engagement functions, reception nights and many more. It is well-known for the unmatched customer service and modern facilities. The venue has two areas that help you plan various pre- or post-wedding functions. Its professional chefs will set up multiple buffet counters with delicious appetizers, tasty main courses and yummy desserts. Calista Resort also gives you an opportunity to decorate the place the way you want as they have an in-house team especially meant for this job.",Grand Mansion,delhi,2500
Grand Vikalp,https://cdn.venuelook.com/uploads/space_12391/1542805392_204x158.png,"Greater Kailash, Delhi",banquet-halls,4.5,Rs. 700 price per plat,"Near Greater Kailash Metro Station,
The Grand Vikalp is a boutique hotel, an ideal place to stay for corporate and business travelers as well as tourists is located in the heart of New Delhi on the main road in the Greater Kailash I area, a most posh part of South Delhi.",Hall,delhi,700
Haris Court Inns & Hotels Rooftop Party Place,https://cdn.venuelook.com/uploads/space_2449/1709292586_204x158.png,"Lajpat Nagar, Delhi",banquet-halls,4.0,Rs. 1100 price per plat,"Near Lajpat Nagar Metro Station,
Hariâs Court Ins & Hotels, Lajpat Nagar is an epitome of class, luxury and comfort. For the leisure travelers, this hotel proves to be just the right place to stay as it is situated close to all major places of attractions of Delhi like Pragati Maidan, Delhi Haat, Connaught Place, Qutub Minar, India Gate, Jantar Mantar, Raj Ghat, Delhi Fort and ample of others popular markets like South Extension, Chandni Chowk, Greater Kailash and Lajpat Nagar etc. Hariâs Court at Lajpat Nagar is a tastefully designed boutique hotel which consists of 26 rooms, each of which is unique from the other. Each of the rooms is different in design, layout as well as decor.",NONE,delhi,1100
Vardaan Sandoz,https://cdn.venuelook.com/uploads/space_38289/1710308738_204x158.png,"Pitampura, Delhi",banquet-halls,4.8,Rs. 1800 price per plat,"Near Pacific Mall Mall,
Vardaan Sandoz, nestled in Pitampura, Delhi, stands out as an unparalleled wedding venue, promising a truly exquisite and opulent setting for all your wedding functions. Recognizing the grandeur inherent in Indian weddings, Vardaan Sandoz emerges as the epitome of sophistication and luxury, making it the ideal choice for your special day. Boasting a spacious banquet hall capable of accommodating up to 700 guests, the venue ensures ample room for every aspect of your celebration. Its meticulously designed interiors exude elegance, while its top-notch facilities, including essential lighting, electricity backup, and valet parking, guarantee a flawless and stress-free wedding experience. For those in search of nothing short of perfection in their wedding venue, Vardaan Sandoz is the ultimate destination.",Raas Hall,delhi,1800
Gola Sizzlers Preet Vihar,https://cdn.venuelook.com/uploads/space_37686/1700309483_204x158.png,"Preet Vihar, Delhi",banquet-halls,4.6,Rs. 1000 price per plat,"Near Preet Vihar Metro Station,
The pioneer of banqueting are back with their latest addition to the luxury dining and celebratory wing. Celebrate in opulence at our grand party halls that can accommodate gatherings from 50-200 persons. Gola Sizzlers Preet ViharÂ  is a wedding venue based in the city of Delhi. The venue has established a reputation through its services and warm hospitality. With years of experience and many weddings hosted at this venue, it is one of the best nuptial stops to host all kinds of wedding celebrations in the most straightforward yet sophisticated manner. The event spaces would make your wedding significant for you and your guests, and it is an ideal place to host all kinds of wedding functions with your loved ones. They offer excellent facilities to cater to all your event needs without annoyance.",The Ballroom,delhi,1000
Surya Grand,https://cdn.venuelook.com/uploads/space_9112/1608988627_204x158.png,"Dwarka, Delhi",banquet-halls,4.8,Rs. 850 price per plat,"Near Palam Metro Station,
A wedding day is one of the most memorable, special and exciting occasions in your life. Making your special day and unforgettable celebration, we at Surya Grand offer a personalized highly innovative service for wedding and other special celebrations, from start to finish. We take great pride in our ability to make your wedding unique, adding those personal touches thought a network of industries professionals who lend their style and expertise to your events.Whether you are looking for an initiate or a large, lavish affair, you will find our services truly affordable and excellent value for money. We work according to our client's requirement talking into account their personal style and individual budgets, always working hard to save your time and money.From creating a beautiful stage for mandap and reception that will be the envy of all your friends, to breathtaking exotic flower displays, you name it and we will provide it.",NONE,delhi,850
Euphoria Mansion,https://cdn.venuelook.com/uploads/space_22111/1653916837_204x158.png,"Moti Nagar, Delhi",banquet-halls,4.5,Rs. 800 price per plat,"Near CTC Mall Mall,
Euphoria Mansion Shivaji Marg is located in Shivaji Marg, New Delhi. The banquet hall was earlier known as The Grandreams which was founded with a vision to provide patrons with the highest standards of products and services and contributing to add on to the traditional values. After adding a youthful touch to the traditional vision and old legacy, The venue offers a lot of services and facilities to make your wedding a gala event which is memorable for you and your guests.Maharaja Hall at First Floor in Euphoria Mansion.",Maharaja Hall,delhi,800
Precious Moments Banquet,https://cdn.venuelook.com/uploads/space_823/1671796944_204x158.png,"Janak Puri, Delhi",banquet-halls,4.4,Rs. 1000 price per plat,"Near Westend Mall - Janakpuri Mall,
Our facilities provide all the services you need. We offer a wide variety of equipment to assist you through any function. Our policy for catering is open and that too without royalty for all caterers whichever you like. Impress your corporate partners, guests, relatives and family members with delicious catered lunches at meetings, symposiums and workshops. Precious Moments Banquet menu features an array of savory dishes from around the world. The decorative desserts always impress our guests.",Banquet Hall 1,delhi,1000
The Grand Horizon Banquet,https://cdn.venuelook.com/uploads/space_36436/1689661681_204x158.png,"Moti Nagar, Delhi",banquet-halls,4.8,Rs. 1600 price per plat,"Near Moments Mall Mall,
A premium Luxury Venue in West Delhi with huge front keeping in view for the most grand welcome of ours and your guest.Ample space for barat welcome. In house multilevel parking facility to give you a five star look and welcome.Big pillar less halls, valet parking, hassle free zone during peak dates of wedding, excellent valet team, Ultimate chefs with premium hotel experience, grand Menu with all types of Cuisines, ample space for events to happen, Availability of rooms and bridal rooms. Three halls designed according to gathering with luxury lift accessibility.",Combined,delhi,1600
Banquet Surya Prime,https://cdn.venuelook.com/uploads/space_36690/1691837815_204x158.png,"Gt Karnal Road, Delhi",banquet-halls,4.6,Rs. 850 price per plat,"Near TDI Mall Kundli Mall,
Banquet Surya PrimeÂ is a wedding venue based in theÂ Kundli.Â Weddings are the most extraordinary moments that a couple of experiences in their life and hence choosing the right venue to carry out all your functions is a necessity. This place is a perfect spot that has everything that you need for hosting a smooth and hassle-free wedding celebration with your loved ones. Located conveniently in the city, it is effortlessly accessible from all methods of shipping and is an excellent fit to host all kinds of wedding ceremonies ranging from pre-wedding to post-wedding.Banquet Surya PrimeÂ offer perfect services and facilities for each wedding celebration to make them a complete and a lifetime memory for all your lovely guests. A wedding is one of the most notable places to host all kinds of wedding ceremonies. If you want an ideal site suitable for treating all special moments, then you can opt for them. You can list them for all your wedding ceremonies to have the most magnificent time with all your loved ones. They also make sure that all your festivals are celebrated with great entertainment.",Prithvi Hall,delhi,850
The Saga Hotel,https://cdn.venuelook.com/uploads/space_36983/1695032684_204x158.png,"Green Park, Delhi",banquet-halls,4.2,Rs. 650 price per plat,"Near Ansal Plaza South Extension Mall,
The Saga Hotel in Green Park can serve as a cost-effective venue for various wedding-related events, such as engagement parties, pre-wedding ceremonies, and intimate wedding receptions.Banquet Hall and Rooftop, These spaces can be decorated to create a beautiful and memorable ambiance for your wedding events.The Saga Hotel can also provide accommodation for your wedding guests, ensuring their comfort and convenience during the celebrations.",Banquet,delhi,650
Surya Shine Banquet And Gardens,https://cdn.venuelook.com/uploads/space_37462/1719566660_204x158.png,"Dwarka, Delhi",banquet-halls,4.6,Rs. 900 price per plat,"Near Omaxe Mall Mall,
Surya Shine Banquet And Gardens, located in Dwarka, is a versatile venue ideal for hosting a wide range of events. From weddings and receptions to corporate meetings, conferences, exhibitions, and social gatherings, this venue offers flexible solutions to suit any occasion. The facility features multiple banquet halls that can be tailored to accommodate various group sizes, ensuring the perfect setting for your event. Additionally, the expansive outdoor lawn provides an excellent option for outdoor celebrations, particularly weddings and receptions. Guests will appreciate the ample parking available on-site. Surya Shine Banquet And Gardens also offers in-house catering services but allows the option to bring in external caterers if preferred. To help create the perfect ambiance, they provide decoration services, and they also permit the use of outside decorators.",Garden With Hall,delhi,900
Aurelia Heaven Banquets And Hotel,https://cdn.venuelook.com/uploads/space_38244/1709202081_204x158.png,"Vikas Puri, Delhi",banquet-halls,4.8,Rs. 1149 price per plat,"Near Janak Puri West Metro Station,
Nestled in the heart of the city, Aurelia Heaven Banquets And Hotel stands as a beacon of sophistication and opulence, offering a venue fit for royalty. As guests approach, they are greeted by grandeur, with a majestic facade adorned with intricate architectural details and lush landscaping, setting the stage for an unforgettable event. Upon entering, guests are enveloped in an atmosphere of refined elegance and regal splendor. The interior exudes timeless beauty, boasting lavish decor, ornate furnishings, and exquisite detailing at every turn. Crystal chandeliers cast a soft, enchanting glow, illuminating the space with a touch of glamour. The banquet halls themselves are spacious and grand, with high ceilings and impeccable design that exudes luxury. Rich fabrics, sumptuous drapery, and tasteful adornments create an ambiance of sophistication, while state-of-the-art lighting and audiovisual equipment ensure that every moment is captured in perfection. Aurelia Heaven Banquets And Hotel offers impeccable service and unparalleled attention to detail. From the moment guests arrive until the last farewell, a team of experienced professionals orchestrates every aspect of the event with precision and grace, ensuring a flawless experience for hosts and guests alike. Whether hosting a fairy-tale wedding, a glamorous gala, or a prestigious corporate affair, Aurelia Heaven Banquets And Hotel sets the stage for moments of timeless elegance and unforgettable memories. It's a venue where dreams come to life, and every event is transformed into a true celebration of luxury and refinement.",Amber Hall,delhi,1149
Gopal Vatika,https://cdn.venuelook.com/uploads/space_14275/1716982680_204x158.png,"Sector 88 Faridabad, Faridabad",banquet-halls,4.3,Rs. 600 price per plat,"Near Bata Chowk Metro Station,
Gopal Vatika, Sector 88, Faridabad is an ideal venue to host your upcoming wedding and reception party. It has a lush green lawn which makes it great for having an open-air function and can accommodate a huge crowd for your function.",Elegent,faridabad,600
Royal Imperio,https://cdn.venuelook.com/uploads/space_38560/1713173975_204x158.png,"Sector 39, Faridabad",banquet-halls,4.8,Rs. 1500 price per plat,"Near Tughlakabad Metro Station Metro Station,
Based in the city of Faridabad, Royal Imperio is a venue which is accessibly located while offering lavish and serene spaces that would be an ideal venue for hosting any of your special celebrations. Weddings are planned with so much perfection that each detail that goes into it is much though-after and then only decided so that it can all come together and give the couple getting married a unique and beautiful experience which they can remember for the years to come.",Crystal Ballroom & Lawn,faridabad,1500
Satya Palace,https://cdn.venuelook.com/uploads/space_38079/1707375301_204x158.png,"Sector 29, Faridabad",banquet-halls,4.8,Rs. 1000 price per plat,"Near Pristine Mall - Sector 31 Mall,
Satya Palace in Faridabad, India, is a renowned wedding venue that captures the essence of elegance and grandeur. With its luxurious halls, exquisite decor, and impeccable services, Satya Palace sets the perfect stage for couples to exchange their vows and embark on a journey of love and togetherness. Nestled in the heart of Faridabad, this enchanting venue offers a picturesque backdrop for weddings, creating unforgettable memories for couples and their guests. From intimate ceremonies to lavish receptions, Satya Palace ensures every wedding is a dream come true, with attention to detail and personalized touches that make each celebration unique and extraordinary.",Ram Janki Banquet Hall,faridabad,1000
Immense Residency,https://cdn.venuelook.com/uploads/space_37914/1706335203_204x158.png,"Sector 28, Faridabad",banquet-halls,4.6,Rs. 950 price per plat,"Near EF3 Mall Mall,
Immense Residency is a beautiful wedding venue located in Faridabad. They offer a significant number of modern facilities and services to be transformed into an ideal wedding destination. Organising a perfect wedding also involves choosing the right venue as per the rightness of your occasion. This hotel is an excellent venue and is a great fit to organise all your nuptial ceremonies magnificently. Therefore if you are looking for a hotel that offers unmatchable services and warm hospitality, then Immense Residency is one of the ideal options.Immense Residency has a spacious hotel which can accommodate all your guests with enough room for them to munch on snacks and enjoy your functions to the fullest. You will get all the assistance needed to organise a fabulous event by their experienced and trained team of professionals who leave no stone unturned to make your weddings one-of-a-kind and truly mesmerising.Immense Residency is an elegant and luxurious wedding venue known to be the house of some of the most refined event spaces for weddings. They have a multi-faceted event space that opens its property with its fantastic banquet hall. The space is perfect for a couple who always wanted to have their functions most exquisitely.Â",Banquet Hall,faridabad,950
Royal Imperio,https://cdn.venuelook.com/uploads/space_25171/1608358648_204x158.png,"Sector 39, Faridabad",banquet-halls,4.9,Rs. 1800 price per plat,"Near Tughlakabad Metro Station Metro Station,
Based in the city of Faridabad, Royal Imperio is a venue which is accessibly located while offering lavish and serene spaces that would be an ideal venue for hosting any of your special celebrations. Weddings are planned with so much perfection that each detail that goes into it is much though-after and then only decided so that it can all come together and give the couple getting married a unique and beautiful experience which they can remember for the years to come.",Crystal Ballroom,faridabad,1800
Royal Imperio,https://cdn.venuelook.com/uploads/space_25184/1608359899_204x158.png,"Sector 39, Faridabad",banquet-halls,4.8,Rs. 1800 price per plat,"Near Tughlakabad Metro Station Metro Station,
Based in the city of Faridabad, Royal Imperio is a venue which is accessibly located while offering lavish and serene spaces that would be an ideal venue for hosting any of your special celebrations. Weddings are planned with so much perfection that each detail that goes into it is much though-after and then only decided so that it can all come together and give the couple getting married a unique and beautiful experience which they can remember for the years to come.",Grand Ballroom,faridabad,1800
Royal Imperio,https://cdn.venuelook.com/uploads/space_25185/1681812485_204x158.png,"Sector 39, Faridabad",banquet-halls,4.8,Rs. 1200 price per plat,"Near Tughlakabad Metro Station Metro Station,
Based in the city of Faridabad, Royal Imperio is a venue which is accessibly located while offering lavish and serene spaces that would be an ideal venue for hosting any of your special celebrations. Weddings are planned with so much perfection that each detail that goes into it is much though-after and then only decided so that it can all come together and give the couple getting married a unique and beautiful experience which they can remember for the years to come.",Tulip & IVY,faridabad,1200
Royal Imperio,https://cdn.venuelook.com/uploads/space_38559/1713173892_204x158.png,"Sector 39, Faridabad",banquet-halls,4.8,Rs. 1800 price per plat,"Near Tughlakabad Metro Station Metro Station,
Based in the city of Faridabad, Royal Imperio is a venue which is accessibly located while offering lavish and serene spaces that would be an ideal venue for hosting any of your special celebrations. Weddings are planned with so much perfection that each detail that goes into it is much though-after and then only decided so that it can all come together and give the couple getting married a unique and beautiful experience which they can remember for the years to come.",Lawn,faridabad,1800
Satya Palace,https://cdn.venuelook.com/uploads/space_38080/1707375942_204x158.png,"Sector 29, Faridabad",banquet-halls,4.8,Rs. 1000 price per plat,"Near Pristine Mall - Sector 31 Mall,
Satya Palace in Faridabad, India, is a renowned wedding venue that captures the essence of elegance and grandeur. With its luxurious halls, exquisite decor, and impeccable services, Satya Palace sets the perfect stage for couples to exchange their vows and embark on a journey of love and togetherness. Nestled in the heart of Faridabad, this enchanting venue offers a picturesque backdrop for weddings, creating unforgettable memories for couples and their guests. From intimate ceremonies to lavish receptions, Satya Palace ensures every wedding is a dream come true, with attention to detail and personalized touches that make each celebration unique and extraordinary.",Luv Kush Party Hall,faridabad,1000
